Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:07:44.544Z,7c4eff11-53fd-4d7e-9410-8c66eb8cf05d,2017-01-01T00:16:47.280Z,2017-01-01T00:21:40.176Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:42:24.336Z,3108d14f-9d72-43f3-a7d4-a689a037e683,2017-01-01T00:57:37.728Z,2017-01-01T01:03:44.784Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:25:05.376Z,752a7b22-2bcc-42fe-a01e-c9dfb7fa86df,2017-01-01T00:33:09.072Z,2017-01-01T01:14:52.512Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:02:42.144Z,62ddc1c0-637d-44e3-9f9e-cf6290c11c43,2017-01-01T00:15:58.896Z,2017-01-01T01:30:12.384Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:34:59.664Z,5c2c8dd9-081c-4026-8c9f-39f01465b6cc,2017-01-01T00:51:04.320Z,2017-01-01T01:34:17.040Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:27:35.136Z,e39a4cc8-c6db-4aef-b67f-70d85c96d880,2017-01-01T00:45:48.384Z,2017-01-01T01:42:26.928Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T01:12:06.336Z,7dc4d847-d77d-492a-91bc-26404ac09b6a,2017-01-01T01:25:59.664Z,2017-01-01T02:00:54.432Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T01:04:36.192Z,6e57bfc3-217f-403a-a770-de630b313a43,2017-01-01T01:34:19.488Z,2017-01-01T02:25:58.080Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T01:56:19.392Z,2e936659-55bd-4798-9079-7d29903b24be,2017-01-01T02:32:50.496Z,2017-01-01T03:27:04.896Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T03:00:26.208Z,071234ed-0ec0-48b8-9c71-55e5280d9dfa,2017-01-01T03:27:05.040Z,2017-01-01T03:37:18.480Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T02:33:13.392Z,bc79074c-3335-4547-a913-cbf10e7f4107,2017-01-01T02:55:48.144Z,2017-01-01T03:43:08.688Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T02:38:10.608Z,67dc1ff0-8a30-4a02-b67d-1f1c202d5c3c,2017-01-01T03:37:44.400Z,2017-01-01T03:48:20.304Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T02:30:41.760Z,096272c0-dff5-44fd-83b5-c158bc23a016,2017-01-01T03:07:41.376Z,2017-01-01T03:53:37.248Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T02:57:55.152Z,43aa52db-134f-4e7c-bf74-f9f6d873a82b,2017-01-01T03:01:07.104Z,2017-01-01T03:56:56.976Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T02:45:38.448Z,e5070d5a-e1a3-4c10-832f-15b7c0f09902,2017-01-01T03:14:23.856Z,2017-01-01T04:07:38.352Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T02:38:10.896Z,3343ed00-341b-403d-b3f9-01141a5c3b36,2017-01-01T03:17:15.504Z,2017-01-01T04:22:57.792Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T03:22:34.032Z,b5faeb24-c33a-4e7e-8bf0-b01701367b17,2017-01-01T03:31:13.728Z,2017-01-01T04:47:06.000Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T04:43:50.160Z,a88274ec-5a80-4f17-acc3-6a59c95407c1,2017-01-01T04:47:08.304Z,2017-01-01T04:52:02.064Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T04:33:51.120Z,f408ef76-d2cf-4839-9b16-f29c0a932348,2017-01-01T04:40:43.536Z,2017-01-01T04:52:02.208Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T03:56:56.688Z,f832cceb-2de3-4b95-8960-829c2c8a81ee,2017-01-01T04:32:26.448Z,2017-01-01T04:58:08.400Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T04:19:05.520Z,0b6cd211-3d8e-4348-83e0-1df95f826506,2017-01-01T04:22:05.376Z,2017-01-01T05:25:29.712Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T04:53:47.616Z,b7376c5f-48e1-4825-9f01-f292c940f406,2017-01-01T04:56:15.216Z,2017-01-01T05:31:12.864Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T04:06:47.952Z,a25243d0-55fd-43ca-a4ee-2d2144f86b3c,2017-01-01T04:12:34.128Z,2017-01-01T05:40:01.776Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T04:46:22.656Z,54e21bd4-bada-4828-8287-53627d6ab6a1,2017-01-01T04:49:32.880Z,2017-01-01T05:44:15.360Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T05:01:15.600Z,bccfdafc-59b7-4e1f-b4a6-6a1a78c90185,2017-01-01T05:05:09.024Z,2017-01-01T06:02:51.648Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T05:33:10.368Z,9faa6d9f-273b-4867-8c96-2c4a40c66b51,2017-01-01T06:08:17.952Z,2017-01-01T06:20:34.512Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T04:56:18.672Z,0441a39b-05db-457b-b43c-6517f4bb7dd9,2017-01-01T05:17:21.552Z,2017-01-01T06:26:43.152Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T05:18:26.640Z,41aa6464-700b-4174-b2ca-29f60831f220,2017-01-01T05:20:35.952Z,2017-01-01T06:29:09.888Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T05:45:33.696Z,0ce01cf7-29b7-46be-90d2-5263e2cd83dc,2017-01-01T06:20:38.400Z,2017-01-01T06:53:48.192Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T05:43:02.496Z,a6538e4d-4097-4f70-bfca-886c3d7ab4d7,2017-01-01T06:13:34.320Z,2017-01-01T07:03:52.560Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T05:55:28.704Z,d8678cd8-b03f-4a31-916b-410776cc628c,2017-01-01T06:41:01.968Z,2017-01-01T07:12:40.032Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T06:12:41.904Z,931687d8-5282-4465-9d4f-70e44c49a49d,2017-01-01T06:24:39.456Z,2017-01-01T07:20:50.496Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T05:48:03.312Z,75ec91af-4db0-48ae-a09f-999529650d37,2017-01-01T06:00:25.632Z,2017-01-01T07:20:50.640Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T06:10:12.432Z,c972ab5b-3b2f-48e2-a3c1-b910e01dd421,2017-01-01T06:15:36.720Z,2017-01-01T07:34:45.696Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T06:37:13.872Z,95704b81-0357-4796-b363-3f45ab3481aa,2017-01-01T06:56:33.072Z,2017-01-01T07:52:25.248Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T07:33:59.904Z,1776be80-660f-4c2d-a80d-4bb9b5d3b44f,2017-01-01T07:53:15.072Z,2017-01-01T07:59:23.568Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T07:21:42.192Z,879ee3db-51cc-4636-8570-ecc8a3afa75a,2017-01-01T07:59:27.456Z,2017-01-01T08:06:45.792Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T07:43:54.048Z,1102524d-e7cd-4756-af2d-18b4f13e6f32,2017-01-01T07:56:56.544Z,2017-01-01T08:18:33.840Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T06:47:04.272Z,b4b9fa19-7ddc-400a-8112-421be1f749ec,2017-01-01T07:20:55.824Z,2017-01-01T08:28:39.504Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
