Booking Time, User ID, Picked Up Time, Dropped Off Time,Seat Count
2017-01-01T00:03:06.049Z,dc2b3a72-b809-4476-9c9e-2c0790aea38a,2017-01-01T00:09:40.897Z,2017-01-01T00:16:16.609Z,1
2017-01-01T00:03:09.937Z,df0b8025-6173-45e5-833d-a17012cd1af7,2017-01-01T00:21:11.809Z,2017-01-01T00:30:19.585Z,1
2017-01-01T00:38:48.769Z,dc999e08-9795-4035-a548-b76cec16c48c,2017-01-01T00:45:43.057Z,2017-01-01T00:56:48.769Z,4
2017-01-01T00:03:06.049Z,267adb5a-f2e3-4b40-99d0-5811a6cc97e9,2017-01-01T00:32:20.977Z,2017-01-01T01:04:15.745Z,1
2017-01-01T01:06:18.865Z,ced10c3f-6112-4592-b661-451aefdb9313,2017-01-01T01:25:58.081Z,2017-01-01T01:36:13.825Z,1
2017-01-01T00:51:18.577Z,8b671f30-bf34-42d5-be1b-410f9b699f78,2017-01-01T01:08:45.025Z,2017-01-01T01:41:56.545Z,1
2017-01-01T00:51:24.049Z,081d16b1-1a37-4560-b07b-715cf65128bc,2017-01-01T01:20:15.361Z,2017-01-01T01:45:41.473Z,1
2017-01-01T01:06:19.585Z,bb93c735-2bfc-40d0-b3b9-7d9a1b1da5c2,2017-01-01T01:16:09.409Z,2017-01-01T02:11:44.881Z,1
2017-01-01T02:04:35.761Z,39c82a52-a2bd-40a9-95a9-8cd63111f8ee,2017-01-01T02:09:36.145Z,2017-01-01T02:14:38.545Z,1
2017-01-01T00:41:20.257Z,ddc76a35-5e85-4b7d-897d-cc4fa268a526,2017-01-01T01:08:45.169Z,2017-01-01T02:18:39.313Z,3
2017-01-01T01:06:20.305Z,ce406cf4-5e1b-40c6-b8ae-c3fe353decec,2017-01-01T01:40:18.913Z,2017-01-01T02:27:39.745Z,1
2017-01-01T02:02:05.281Z,25ff6a1e-97b2-46fe-ac61-1a64b93ae716,2017-01-01T02:36:47.089Z,2017-01-01T02:44:08.881Z,1
2017-01-01T02:07:11.137Z,7d7da44f-4621-4969-85a3-20c144105114,2017-01-01T02:18:44.497Z,2017-01-01T03:10:44.833Z,3
2017-01-01T02:04:35.185Z,534cb9fe-9ddd-4fe2-b615-f4c483c14c89,2017-01-01T02:53:04.273Z,2017-01-01T03:30:50.833Z,1
2017-01-01T02:48:14.977Z,360a00d0-544e-42fe-8020-7da9d7cfb8e4,2017-01-01T03:25:57.505Z,2017-01-01T03:40:43.681Z,1
2017-01-01T03:15:32.833Z,85554d9e-f270-447a-b7ea-12620a12f5e2,2017-01-01T03:21:49.969Z,2017-01-01T03:48:51.121Z,1
2017-01-01T00:51:22.609Z,f1b5932b-b9ed-443e-a9b2-9ee41c19d48a,2017-01-01T02:58:25.681Z,2017-01-01T03:52:24.385Z,3
2017-01-01T00:46:18.481Z,b2005de3-6758-47d7-83bb-89f26ee19f74,2017-01-01T03:54:45.793Z,2017-01-01T03:57:43.633Z,1
2017-01-01T03:27:59.905Z,203e4ec9-99ce-4736-b84c-414474a727c0,2017-01-01T03:32:57.121Z,2017-01-01T04:04:17.041Z,1
2017-01-01T03:00:43.057Z,4080d277-e1e1-4a81-abf2-74c7762e819d,2017-01-01T03:16:29.137Z,2017-01-01T04:12:08.353Z,1
2017-01-01T01:57:03.601Z,3966ad80-cafb-420e-ba32-b273ebc00c2b,2017-01-01T03:02:34.945Z,2017-01-01T04:13:00.913Z,1
2017-01-01T02:50:45.601Z,c95918ec-ca55-484a-a44a-f2211e75c8ac,2017-01-01T03:49:35.617Z,2017-01-01T04:13:00.913Z,1
2017-01-01T03:05:41.569Z,bd6169d5-a459-4165-824d-2d1365a675f3,2017-01-01T03:18:09.073Z,2017-01-01T04:17:02.977Z,1
2017-01-01T01:44:36.529Z,aafea019-f8c0-44ef-9245-b8a174f53cef,2017-01-01T03:57:49.969Z,2017-01-01T04:17:02.977Z,1
2017-01-01T03:35:23.857Z,2c947d21-9c2e-4971-b964-37c75daa2c15,2017-01-01T03:43:38.929Z,2017-01-01T04:17:51.361Z,1
2017-01-01T01:59:34.801Z,2f6573c4-419e-4caf-adea-864656f707a0,2017-01-01T03:49:35.761Z,2017-01-01T04:44:16.225Z,1
2017-01-01T03:47:50.497Z,48925eed-640b-467f-bdc4-da12e2029480,2017-01-01T04:13:04.945Z,2017-01-01T04:55:45.985Z,1
2017-01-01T03:47:50.209Z,80f8812e-c283-4a5d-a4d6-512d194827e3,2017-01-01T04:17:53.953Z,2017-01-01T05:04:22.657Z,3
2017-01-01T03:40:22.513Z,15abeacd-bd3e-4f3f-b397-c9c9f23db974,2017-01-01T05:01:57.793Z,2017-01-01T05:05:11.761Z,1
2017-01-01T04:33:50.257Z,fca23fbe-afae-4328-ab35-547ba6381b8e,2017-01-01T04:38:28.033Z,2017-01-01T05:33:31.969Z,1
2017-01-01T04:36:21.601Z,e2f072d7-7621-4cf1-b8ff-743c0474f96d,2017-01-01T04:51:42.625Z,2017-01-01T05:38:28.321Z,3
2017-01-01T02:04:36.337Z,a88eeb0d-7663-44e4-a49f-2455b2546ee1,2017-01-01T04:59:03.409Z,2017-01-01T05:57:20.017Z,2
2017-01-01T05:01:10.561Z,d9ee3a49-1251-4b39-94af-168560b69337,2017-01-01T05:47:33.937Z,2017-01-01T05:57:20.161Z,1
2017-01-01T01:03:47.089Z,5d88648a-17dc-4b72-9359-fb75aaa38448,2017-01-01T05:05:14.929Z,2017-01-01T06:04:17.041Z,1
2017-01-01T05:16:01.777Z,8f7e93dd-90a6-474e-8d6a-9283ba997a95,2017-01-01T05:42:12.817Z,2017-01-01T06:11:19.393Z,1
2017-01-01T05:18:32.833Z,591dff15-b449-4cdc-b4b9-0104b940a9b8,2017-01-01T06:11:23.281Z,2017-01-01T06:44:00.961Z,1
2017-01-01T05:23:31.633Z,e1555317-6a98-456d-a191-a715546589c6,2017-01-01T06:01:24.241Z,2017-01-01T06:50:14.929Z,4
2017-01-01T05:18:31.393Z,7042ec7a-327e-4036-a31b-b324ab754a06,2017-01-01T06:04:21.937Z,2017-01-01T06:55:32.305Z,1
2017-01-01T05:18:32.401Z,9c8554e5-9efd-4df2-8f04-1db67507fec3,2017-01-01T07:11:12.337Z,2017-01-01T07:29:01.105Z,1
2017-01-01T06:36:24.337Z,c49cebb9-d079-43f4-ab16-d1bfec48eec4,2017-01-01T07:07:29.137Z,2017-01-01T07:36:30.961Z,1
2017-01-01T06:36:26.641Z,ba74febc-8f45-4993-8742-ed352ba56652,2017-01-01T07:46:04.801Z,2017-01-01T07:50:01.393Z,1
2017-01-01T06:21:29.665Z,68e4a21e-9d81-4e59-b4bb-9f3f976f6892,2017-01-01T07:15:11.809Z,2017-01-01T07:56:58.993Z,1
2017-01-01T06:26:26.305Z,da32bada-5deb-49e5-880a-22bef9c5faae,2017-01-01T07:52:56.497Z,2017-01-01T08:05:36.673Z,1
2017-01-01T04:51:18.721Z,2785564a-5a53-4839-a890-532e94c33c1e,2017-01-01T07:31:56.497Z,2017-01-01T08:05:36.673Z,1
2017-01-01T04:43:49.297Z,3cfec4e8-df7c-45e9-911e-3ed0e8c9ed27,2017-01-01T07:36:34.417Z,2017-01-01T08:08:31.345Z,1
2017-01-01T05:18:31.681Z,dcc956d0-c1eb-4588-a07c-0e993eac2db0,2017-01-01T07:01:18.049Z,2017-01-01T08:16:19.201Z,2
