Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-12-01T00:06:23.832Z,8378bcf6-8a33-4afe-9939-272efe21bf99,2017-12-01T00:10:43.032Z,2017-12-01T00:12:54.936Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-12-01T00:12:07.248Z,401da42e-4020-4c31-8bf2-cfad73b27c11,2017-12-01T00:16:12.792Z,2017-12-01T00:17:55.392Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:03:31.968Z,4d4d8b6c-06de-42c1-9abf-a123c443511f,2017-12-01T00:08:10.224Z,2017-12-01T00:19:33.576Z,4,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:30:34.296Z,49d3e030-a423-435f-88d5-07c1491222a1,2017-12-01T00:32:35.040Z,2017-12-01T00:39:36.000Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:17:03.144Z,6706f6c5-c6bd-456b-b952-dafd8cd8bd96,2017-12-01T00:24:21.024Z,2017-12-01T00:47:33.120Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:15:48.864Z,78ac9f9c-6b78-4e16-9736-127b74f1cd18,2017-12-01T00:17:59.520Z,2017-12-01T00:49:31.896Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-12-01T00:35:05.808Z,a1aaa0da-7fa7-40c4-bd2a-ca03f3c87b09,2017-12-01T00:36:29.376Z,2017-12-01T00:49:31.896Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-12-01T00:55:35.712Z,75e80660-052b-4226-9f30-386d3256993a,2017-12-01T00:57:09.648Z,2017-12-01T00:59:25.464Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-12-01T00:15:48.720Z,d21b609c-e49e-4abc-89b0-0368e9d33e23,2017-12-01T00:16:17.184Z,2017-12-01T00:59:25.488Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-12-01T00:48:11.880Z,6f07df30-eb41-48f2-9a60-ed740b8e398d,2017-12-01T00:49:32.880Z,2017-12-01T00:59:45.792Z,1,8919b741-eee9-4d96-8649-d5aa95c29a49
2017-12-01T00:55:36.072Z,3b6a529c-835b-44a2-b303-868f83fa41d6,2017-12-01T00:56:53.256Z,2017-12-01T01:02:30.528Z,4,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:52:43.656Z,7571f940-5db2-4eda-b8b2-7d7d300650c5,2017-12-01T00:56:23.232Z,2017-12-01T01:02:43.080Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-12-01T00:21:33.120Z,50591723-e75c-4854-b3b4-be2107631184,2017-12-01T00:27:07.464Z,2017-12-01T01:02:54.672Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:27:17.232Z,71d75d39-a820-4571-abf1-55a9d546dce2,2017-12-01T00:33:08.976Z,2017-12-01T01:02:54.672Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-12-01T00:31:24.504Z,67a074d6-32e8-45b6-b59a-549a9b9e85e8,2017-12-01T00:33:45.168Z,2017-12-01T01:04:45.648Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-12-01T00:39:36.336Z,79fd6f8a-fbc5-46c6-8fb9-3cbb6a61e052,2017-12-01T00:43:56.904Z,2017-12-01T01:04:54.264Z,1,8919b741-eee9-4d96-8649-d5aa95c29a49
2017-12-01T00:30:09.312Z,a2534443-0c85-43f4-9190-4301a785c0e1,2017-12-01T00:32:31.008Z,2017-12-01T01:04:54.288Z,2,8919b741-eee9-4d96-8649-d5aa95c29a49
2017-12-01T00:30:59.280Z,52384b37-90d0-4b83-b9fa-9420828247b4,2017-12-01T00:35:45.312Z,2017-12-01T01:06:00.072Z,1,8919b741-eee9-4d96-8649-d5aa95c29a48
2017-12-01T00:45:19.752Z,01db9c90-75a9-48d9-a187-93e703a1ec2e,2017-12-01T00:47:20.808Z,2017-12-01T01:06:32.592Z,2,8919b741-eee9-4d96-8649-d5aa95c29a49
