Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-12-01T00:00:58.728Z,fc4f3310-4599-4ad9-a75f-9e16c024b685,2017-12-01T00:03:08.688Z,2017-12-01T00:08:03.912Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-12-01T00:00:32.616Z,133125ce-c97e-4957-a1ea-ba41381b5a5a,2017-12-01T00:03:17.664Z,2017-12-01T00:10:34.968Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:06:19.464Z,938bbf9d-d838-4ea3-a470-d75e66fa19f5,2017-12-01T00:11:32.880Z,2017-12-01T00:13:23.376Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-12-01T00:12:03.168Z,4cca96b5-5629-4b4f-b94d-4b01efaf9bdb,2017-12-01T00:17:53.808Z,2017-12-01T00:19:19.536Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:00:58.872Z,aa7bc0e7-8151-4e08-ab3c-287b9189039a,2017-12-01T00:02:37.944Z,2017-12-01T00:19:48.672Z,1,8919b741-eee9-4d96-8649-d5aa95c29a48
2017-12-01T00:03:26.976Z,58344491-5a6c-4125-8000-4d27b378e35d,2017-12-01T00:09:45.768Z,2017-12-01T00:20:53.136Z,4,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:00:32.760Z,aaa37a81-c973-4751-b68c-0421ae930acb,2017-12-01T00:03:08.640Z,2017-12-01T00:28:07.512Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-12-01T00:00:32.448Z,2898eb8d-18df-406e-a5ee-3efc76f980b4,2017-12-01T00:04:12.168Z,2017-12-01T00:35:54.672Z,2,8919b741-eee9-4d96-8649-d5aa95c29a49
2017-12-01T00:30:32.568Z,ec13a6eb-c1c8-49c9-b456-0d6a7e947afd,2017-12-01T00:33:56.784Z,2017-12-01T00:40:08.112Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-12-01T00:15:20.400Z,ff156af9-2dbe-486e-9b87-8c548b4f383d,2017-12-01T00:20:42.552Z,2017-12-01T00:45:45.480Z,3,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-12-01T00:35:03.816Z,012e9893-ad17-403d-b8ea-0ff3d45d0ed3,2017-12-01T00:38:07.152Z,2017-12-01T00:49:46.608Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:15:45.720Z,6e66cef7-cd2d-4ec2-b1db-538be27aef16,2017-12-01T00:16:43.800Z,2017-12-01T00:52:18.336Z,3,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-12-01T00:21:30.072Z,27358284-a75c-477b-a3c1-072cda0d7ba0,2017-12-01T00:27:10.056Z,2017-12-01T00:53:20.448Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:30:07.344Z,8ca42a7b-bd46-4bd0-9b0e-d81f1a714fad,2017-12-01T00:30:35.064Z,2017-12-01T00:56:57.768Z,2,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-12-01T00:39:34.080Z,4e605f05-86b8-464d-9061-13fe06351c00,2017-12-01T00:41:18.552Z,2017-12-01T00:59:53.784Z,1,8919b741-eee9-4d96-8649-d5aa95c29a49
2017-12-01T00:48:16.224Z,9cffacf7-aefe-4a04-a75c-4ba44a038b5b,2017-12-01T00:51:29.688Z,2017-12-01T01:02:22.824Z,1,8919b741-eee9-4d96-8649-d5aa95c29a48
2017-12-01T00:52:46.968Z,7dbc5fd2-9158-4c57-801e-22a8cfa2043b,2017-12-01T00:57:22.848Z,2017-12-01T01:03:20.328Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:27:15.192Z,74a2a0c9-3bac-43b6-8be5-11aee10255d9,2017-12-01T00:36:40.368Z,2017-12-01T01:10:22.968Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-12-01T00:55:14.616Z,a4259645-3314-4884-9a40-36c249f7fd48,2017-12-01T01:00:34.944Z,2017-12-01T01:06:17.688Z,4,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
