Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:03:19.728Z,c7bf781d-b7ea-4eac-b527-6bd6fc29e8e6,2017-01-01T00:10:14.208Z,2017-01-01T00:21:02.064Z,3,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:00:51.936Z,78b3d48c-2893-411e-b00d-a7617e97f87c,2017-01-01T00:06:57.264Z,2017-01-01T00:27:13.872Z,4,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:05:47.616Z,cab8f68d-558f-412f-ab0a-c0b2b864b67e,2017-01-01T00:13:21.792Z,2017-01-01T00:34:05.424Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:27:09.120Z,14299655-462b-4dd7-bbb0-7aee94e4e8c4,2017-01-01T00:28:11.712Z,2017-01-01T00:38:37.728Z,2,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:24:41.280Z,1f0649d8-1f9d-452c-b774-f75d97d570e4,2017-01-01T00:34:00.720Z,2017-01-01T00:41:22.704Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:18:57.168Z,0eca0faf-ef99-4b35-ad0d-6de1b9d1f437,2017-01-01T00:35:44.064Z,2017-01-01T00:43:18.288Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:10:43.200Z,8fb5e040-cb68-4c87-9d47-3b874d4401bd,2017-01-01T00:23:40.464Z,2017-01-01T00:46:54.672Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:08:15.360Z,2d63caf4-d95a-4705-b1e3-0df85dfb6fd2,2017-01-01T00:09:16.944Z,2017-01-01T00:47:43.872Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:39:27.840Z,780764fb-1b0a-4c2e-af41-ef12a8b116cb,2017-01-01T00:41:47.568Z,2017-01-01T00:52:54.864Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:31:16.320Z,4a3300cf-d3b6-4a60-82d8-2cb6ab793e4c,2017-01-01T00:33:48.336Z,2017-01-01T01:00:17.856Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:37:00.528Z,69f2586f-4037-4b81-bbc0-d576db137227,2017-01-01T00:40:08.640Z,2017-01-01T01:03:25.392Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:28:48.528Z,3e3ec8ce-6515-4dc8-b7a8-a67d0d03747f,2017-01-01T00:46:04.416Z,2017-01-01T01:06:00.672Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:34:32.736Z,a9e8dd54-8bd1-4009-88ef-ad1cb2989dd7,2017-01-01T00:44:16.128Z,2017-01-01T01:06:57.600Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:21:24.912Z,e8b546ed-14a3-48f3-96a2-500eb3409865,2017-01-01T00:34:00.720Z,2017-01-01T01:11:02.928Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:55:53.712Z,456c435f-1acc-48f3-b144-72b39021b38c,2017-01-01T00:57:02.208Z,2017-01-01T01:12:41.664Z,4,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:45:13.392Z,b91937ca-bfaa-421d-b544-d161b9a95567,2017-01-01T00:46:06.192Z,2017-01-01T01:17:02.832Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:47:41.328Z,b5265853-305b-4617-a4a4-4df8328eae1e,2017-01-01T00:50:36.240Z,2017-01-01T01:18:24.144Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
