Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:04:59.424Z,92ab68df-687c-42a3-9b4e-634bd813f75a,2017-01-01T00:06:35.664Z,2017-01-01T00:12:19.968Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:02:31.440Z,cb57a8ed-69ac-4493-b031-f847b2019ebf,2017-01-01T00:08:31.008Z,2017-01-01T00:21:23.472Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:00:52.656Z,37c5b206-3229-4fbb-8bf8-05578148ecd3,2017-01-01T00:09:36.864Z,2017-01-01T00:26:40.320Z,2,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:09:56.448Z,9c1b2c40-5de3-4e23-b18a-fbe189dd423e,2017-01-01T00:22:23.472Z,2017-01-01T00:42:42.048Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T00:16:31.536Z,e452a24f-792f-4bab-90af-6e2abf9be74a,2017-01-01T00:20:58.224Z,2017-01-01T00:43:36.624Z,1,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:29:41.568Z,a9c1e00f-9147-4a6f-8266-86de982f973a,2017-01-01T00:31:41.472Z,2017-01-01T00:45:52.848Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:25:34.512Z,e8df9b32-5f8d-45ec-8c33-3215bb43f20f,2017-01-01T00:26:52.992Z,2017-01-01T00:49:37.536Z,4,8919b741-eee9-4d96-8649-d5aa95c29a46
2017-01-01T00:27:13.680Z,14dca541-3344-46b1-a53e-ef15da63212c,2017-01-01T00:29:13.056Z,2017-01-01T00:51:54.336Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:38:44.976Z,df7b501f-8dec-468d-b864-dce7965c459b,2017-01-01T00:42:47.760Z,2017-01-01T00:50:20.832Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:14:03.312Z,c5cf69d9-9d6f-4d75-8175-bc8e1cf1a45b,2017-01-01T00:19:11.280Z,2017-01-01T00:50:42.336Z,2,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:23:06.528Z,09f3c937-ffda-47df-8c13-36e6e6715d15,2017-01-01T00:29:37.536Z,2017-01-01T00:53:28.896Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:31:20.064Z,042ba04a-7031-4e66-9b44-7f795499f685,2017-01-01T00:36:21.744Z,2017-01-01T00:56:27.264Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:20:38.208Z,c70e11e1-c011-4562-af3b-2d1b9a526787,2017-01-01T00:21:57.648Z,2017-01-01T01:01:28.464Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a9
2017-01-01T00:07:28.224Z,ccb01902-f6f4-447b-835a-12b539989999,2017-01-01T00:15:20.688Z,2017-01-01T00:59:11.088Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
