name,pickupTime,seatCount,pickupStation,dropoffStation
Customer_110,12:00:00 AM,4,Stop 30,Stop 12
Customer_111,12:02:36 AM,3,Stop 10,Stop 16
Customer_112,12:05:12 AM,1,Stop 28,Stop 11
Customer_113,12:07:48 AM,1,Stop 31,Stop 28
Customer_114,12:10:24 AM,1,Stop 18,Stop 32
Customer_115,12:13:00 AM,2,Stop 23,Stop 24
Customer_116,12:15:36 AM,3,Stop 22,Stop 24
Customer_117,12:18:12 AM,1,Stop 26,Stop 31
Customer_118,12:20:48 AM,1,Stop 25,Stop 21
Customer_119,12:23:24 AM,1,Stop 25,Stop 30
Customer_120,12:26:00 AM,2,Stop 6,Stop 12
Customer_121,12:28:36 AM,1,Stop 1,Stop 15
Customer_122,12:31:12 AM,1,Stop 19,Stop 2
Customer_123,12:33:48 AM,1,Stop 16,Stop 1
Customer_124,12:36:24 AM,1,Stop 23,Stop 4
Customer_125,12:39:00 AM,1,Stop 15,Stop 23
Customer_126,12:41:36 AM,2,Stop 9,Stop 3
Customer_127,12:44:12 AM,1,Stop 17,Stop 10
Customer_128,12:46:48 AM,1,Stop 3,Stop 25
Customer_129,12:49:24 AM,1,Stop 31,Stop 27
Customer_130,12:52:00 AM,1,Stop 9,Stop 32
Customer_131,12:54:36 AM,4,Stop 10,Stop 22
Customer_132,12:57:12 AM,2,Stop 8,Stop 29
