name,pickupTime,seatCount,pickupStop,dropoffStop
Customer_422,12:00:00 AM,4,Stop 20,Stop 2
Customer_423,12:01:32 AM,4,Stop 11,Stop 6
Customer_424,12:03:04 AM,2,Stop 16,Stop 17
Customer_425,12:04:36 AM,4,Stop 17,Stop 2
Customer_426,12:06:08 AM,4,Stop 12,Stop 26
Customer_427,12:07:40 AM,2,Stop 24,Stop 9
Customer_428,12:09:12 AM,2,Stop 9,Stop 17
Customer_429,12:10:44 AM,2,Stop 1,Stop 8
Customer_430,12:12:16 AM,4,Stop 8,Stop 2
Customer_431,12:13:48 AM,2,Stop 8,Stop 4
Customer_432,12:15:20 AM,1,Stop 11,Stop 15
Customer_433,12:16:52 AM,2,Stop 8,Stop 27
Customer_434,12:18:24 AM,1,Stop 14,Stop 29
Customer_435,12:19:56 AM,5,Stop 32,Stop 25
Customer_436,12:21:28 AM,2,Stop 12,Stop 10
Customer_437,12:23:00 AM,2,Stop 15,Stop 22
Customer_438,12:24:32 AM,2,Stop 10,Stop 8
Customer_439,12:26:04 AM,4,Stop 11,Stop 3
Customer_440,12:27:36 AM,1,Stop 12,Stop 1
Customer_441,12:29:08 AM,1,Stop 11,Stop 4
Customer_442,12:30:40 AM,3,Stop 2,Stop 25
Customer_443,12:32:12 AM,3,Stop 11,Stop 25
Customer_444,12:33:44 AM,4,Stop 12,Stop 2
Customer_445,12:35:16 AM,3,Stop 9,Stop 32
Customer_446,12:36:48 AM,1,Stop 11,Stop 31
Customer_447,12:38:20 AM,5,Stop 23,Stop 20
Customer_448,12:39:52 AM,3,Stop 12,Stop 14
Customer_449,12:41:24 AM,1,Stop 12,Stop 2
Customer_450,12:42:56 AM,5,Stop 11,Stop 1
Customer_451,12:44:28 AM,3,Stop 20,Stop 21
Customer_452,12:46:00 AM,1,Stop 13,Stop 23
Customer_453,12:47:32 AM,1,Stop 27,Stop 29
Customer_454,12:49:04 AM,2,Stop 29,Stop 1
Customer_455,12:50:36 AM,5,Stop 8,Stop 2
Customer_456,12:52:08 AM,1,Stop 4,Stop 7
Customer_457,12:53:40 AM,1,Stop 11,Stop 21
Customer_458,12:55:12 AM,1,Stop 16,Stop 19
Customer_459,12:56:44 AM,2,Stop 29,Stop 26
Customer_460,12:58:16 AM,2,Stop 12,Stop 3
