time,demands,vehicles,totalEnergy,averageWaitingTime,maxWaitingTime,minWaitingTime,stabilityWaitingTime,averageJourneyTime,averageOccupancy,averageLoadFactor,maxLoadFactor,minLoadFactor,stabilityLoadFactor,completedBookingsPercentage
2017-01-01T04:00:00.000Z,13.0,8,0.819197221674,3,9,0,9,17,0.324293785311,0.032386112197,0.208132140781,0.0,0.208132140781,0.615384615385
2017-01-01T04:00:00.000Z,13.0,7,0.739564031805,3,9,0,9,16,0.446489104116,0.044535554575,0.257301670728,0.0,0.257301670728,0.692307692308
2017-01-01T04:00:00.000Z,13.0,6,0.587917564244,5,18,0,18,13,0.392121212121,0.0372693867511,0.107315194173,0.0,0.107315194173,0.538461538462
2017-01-01T04:00:00.000Z,13.0,4,0.419395241749,7,17,0,17,18,0.54068627451,0.0626102923344,0.149427069731,0.0,0.149427069731,0.615384615385
2017-01-01T04:00:00.000Z,13.0,9,0.94146457036,6,15,0,15,20,0.357067901235,0.0342751487079,0.208461086311,0.0,0.208461086311,0.692307692308
2017-01-01T04:00:00.000Z,13.0,3,0.318642892268,7,19,0,19,18,1.22303240741,0.120334283821,0.23572126576,0.0459680129264,0.189753252834,0.769230769231
2017-01-01T04:00:00.000Z,13.0,2,0.209158927879,14,25,1,24,21,1.45333333333,0.151073264209,0.253336534236,0.0488099941811,0.204526540055,0.615384615385
2017-01-01T04:00:00.000Z,13.0,10,1.02287664421,3,5,0,5,17,0.292861111111,0.0277228809718,0.199489667064,0.0,0.199489667064,0.615384615385
2017-01-01T04:00:00.000Z,13.0,5,0.550345785335,4,18,0,18,15,0.743944444444,0.0714281075737,0.209601086132,0.0,0.209601086132,0.769230769231
2017-01-01T17:00:00.000Z,58.0,10,0.925236743147,5,13,0,13,21,1.5552037037,0.159315772078,0.546439395383,0.0,0.546439395383,0.51724137931
2017-01-01T17:00:00.000Z,58.0,9,0.801046859015,9,19,0,19,23,1.11855244464,0.121401760081,0.369646578488,0.0,0.369646578488,0.362068965517
2017-01-01T17:00:00.000Z,58.0,8,0.724314630684,4,16,0,16,19,2.16574900794,0.223022971865,0.542345154959,0.0319646518895,0.51038050307,0.534482758621
2017-01-01T17:00:00.000Z,58.0,7,0.66684343691,10,23,0,23,25,1.93650793651,0.204167155826,0.537109472293,0.0,0.537109472293,0.465517241379
2017-01-01T17:00:00.000Z,58.0,6,0.397371875969,15,26,0,26,41,1.09049382716,0.121232455755,0.304927149821,0.0,0.304927149821,0.293103448276
2017-01-01T17:00:00.000Z,58.0,5,0.309153914911,9,22,0,22,17,0.542342342342,0.0707431436526,0.23878309889,0.0,0.23878309889,0.224137931034
2017-01-01T17:00:00.000Z,58.0,4,0.124100500998,22,28,0,28,44,0.948550724638,0.0797365809721,0.140338170102,0.0223880910389,0.117950079064,0.379310344828
2017-01-01T17:00:00.000Z,58.0,3,0.219781953749,11,16,3,13,22,1.8462585034,0.191518159909,0.406507336084,0.0612567301088,0.345250605976,0.206896551724
2017-01-01T17:00:00.000Z,58.0,2,0.18420427414,12,26,0,26,20,3.35904761905,0.377579439149,0.486253948432,0.268904929866,0.217349018565,0.310344827586
2017-01-01T13:00:00.000Z,21.0,10,0.914999980107,1,4,0,4,17,0.374983796296,0.0357650087637,0.208448272627,0.0,0.208448272627,0.47619047619
2017-01-01T13:00:00.000Z,21.0,9,0.52650736083,7,7,0,7,64,0.22125462963,0.0259872998199,0.106171156601,0.0,0.106171156601,0.285714285714
2017-01-01T13:00:00.000Z,21.0,8,0.667948987898,1,4,0,4,17,0.461928104575,0.0453289843218,0.161362847975,0.0,0.161362847975,0.47619047619
2017-01-01T13:00:00.000Z,21.0,7,0.653519198194,2,4,1,3,14,0.51101461039,0.0503661737336,0.271280658657,0.0,0.271280658657,0.428571428571
2017-01-01T13:00:00.000Z,21.0,6,0.559129810569,1,4,0,4,14,0.273375262055,0.0275585190117,0.0879672028492,0.0,0.0879672028492,0.285714285714
2017-01-01T13:00:00.000Z,21.0,5,0.471489647629,9,13,1,12,26,0.691666666667,0.0545747541294,0.197490791897,0.0,0.197490791897,0.333333333333
2017-01-01T13:00:00.000Z,21.0,4,0.398664739158,9,12,2,10,23,1.29760802469,0.0774653813498,0.243649267683,0.0,0.243649267683,0.380952380952
2017-01-01T13:00:00.000Z,21.0,3,0.203279592624,3,11,0,11,15,0.726851851852,0.0662824161506,0.109829660481,0.0,0.109829660481,0.238095238095
2017-01-01T13:00:00.000Z,21.0,2,0.073072308217,23,19,3,16,54,1.55833333333,0.132013733356,0.264027466713,0.0,0.264027466713,0.190476190476
2017-01-01T13:00:00.000Z,40.0,10,0.785886841029,3,8,0,8,16,0.643222222222,0.0618161538071,0.231261961049,0.0,0.231261961049,0.35
2017-01-01T13:00:00.000Z,40.0,9,0.7936520008,5,19,0,19,24,0.653341750842,0.0679147646664,0.201629498268,0.0,0.201629498268,0.3
2017-01-01T13:00:00.000Z,40.0,8,0.719495124019,7,15,0,15,32,1.26118197279,0.140729681294,0.386326882723,0.0,0.386326882723,0.475
