Booking Time,User ID,Pick-up Time,Drop-off Time,Seat Count,Vehicle ID
2017-01-01T00:12:20.352Z,d726e211-42d5-423e-860b-cf8a8149829c,2017-01-01T00:12:56.160Z,2017-01-01T00:18:16.512Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:26:14.760Z,6b68a1dc-41a8-4670-888d-bcd91b2aff64,2017-01-01T00:30:03.936Z,2017-01-01T00:35:47.376Z,3,8919b741-eee9-4d96-8649-d5aa95c29a48
2017-01-01T00:09:28.584Z,867e0581-fa22-4bf9-ac25-0b0364fb6408,2017-01-01T00:15:19.464Z,2017-01-01T00:37:54.672Z,2,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:00:29.088Z,dd0656dc-e931-4999-8b66-e08a466e09ee,2017-01-01T00:02:49.560Z,2017-01-01T00:37:54.672Z,1,4bf166af-9eeb-432a-bad5-4b93b827ac56
2017-01-01T00:26:14.592Z,d100ebb0-3e3c-4ce5-9582-9e8f5bfa44a5,2017-01-01T00:26:51.144Z,2017-01-01T00:39:27.984Z,3,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-01-01T00:26:14.712Z,85bb3dc0-6ced-4ae2-b2d5-4a5a37374f6b,2017-01-01T00:31:36.624Z,2017-01-01T00:40:04.800Z,1,8919b741-eee9-4d96-8649-d5aa95c29a49
2017-01-01T00:26:14.832Z,5d91166b-222d-47a9-9b62-ed42c0a8b6fe,2017-01-01T00:30:12.600Z,2017-01-01T00:42:03.792Z,1,8919b741-eee9-4d96-8649-d5aa95c29a47
2017-01-01T00:22:58.200Z,18b0e348-e8c1-4dcf-a08f-a67033848529,2017-01-01T00:27:03.384Z,2017-01-01T00:42:28.656Z,1,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
2017-01-01T00:36:03.408Z,8a68a0af-f360-4f3f-ac50-c37bc78909cc,2017-01-01T00:36:59.160Z,2017-01-01T00:45:20.376Z,1,0a38f434-5846-48b2-9cb6-75afd9c217d2
2017-01-01T00:43:24.408Z,a7564045-6791-45dd-8748-d06bc124a2d1,2017-01-01T00:46:06.072Z,2017-01-01T00:54:04.968Z,3,d6ee24d2-f4b8-4599-b29e-ef1302a6b1a8
